Query,Clicks,Impressions,CTR,Position,Title Length,Meta Descritpion lengt
keiphone,5,1344,0.37,1,34,156
keyphone,206,999,20.62,1.72,49,150
keyphone,580,997,58.17,1.3,33,40
keyphone,24,966,2.48,3.27,39,156
keiphone k10,239,704,33.95,1.03,39,156
celular chileno,368,700,52.57,1.03,72,179
keiphone k10,67,696,9.63,2.94,49,150
smartwatch,6,425,1.41,43.52,34,130
k10 helio,177,399,44.36,1.02,49,150
k10 helio,38,398,9.55,2.52,39,156
keiphone,2,390,0.51,1,34,153
keiphone smartwatch,184,339,54.28,1,34,130
keiphone smartwatch,12,338,3.55,1,34,153
keiphone reloj,181,334,54.19,1.05,34,156
keiphone reloj,18,333,5.41,3.07,34,153
smartwatch f1,19,308,6.17,8.29,34,153
keiphone chile,191,301,63.46,1.03,72,179
keiphone chile,20,300,6.67,1,33,40
keiphone chile,14,300,4.67,1,34,130
keiphone k10s helio,77,279,27.6,1.06,39,156
celulares chilenos,77,276,27.9,2.95,72,179
k10s helio,77,275,28,1.05,39,156
keiphone k10s helio,28,263,10.65,2.55,49,150
keikids,93,262,35.5,1.55,58,156
celular chileno,1,239,0.42,1,34,130
keiphone smartwatch,4,214,1.87,1.22,58,156
keiphone f5,85,207,41.06,1,34,156
smartphone chileno,31,194,15.98,2.01,72,179
smartphone chileno,94,194,48.45,1.01,49,150
telefono chileno,65,170,38.24,1.82,72,179
keiphone k10s,66,162,40.74,1.03,39,156
keiphone reloj,11,160,6.88,5.96,33,40
kphone,33,154,21.43,4.21,49,150
smartwatch chile,15,148,10.14,20.96,34,130
smartphone chile,15,145,10.34,12.15,72,179
keiphone smartwatch,8,125,6.4,2.52,33,40
smartwatch keiphone,60,122,49.18,1.3,34,130
keiphone k10 helio,42,113,37.17,1,39,156
smartwatch f5,8,108,7.41,8.52,34,156
telefonos chilenos,20,98,20.41,2.32,72,179
kphone,15,92,16.3,2.42,72,179
keiphonesw,70,89,78.65,1.22,72,179
keiphonesw,8,88,9.09,1,33,40
keiphonesw,6,88,6.82,1,34,130
keyfone,37,86,43.02,1.69,49,150
keyfone,10,83,12.05,2.49,33,40
keyfone,16,82,19.51,1.88,72,179
kei f1,21,72,29.17,1.47,34,153
keiphone f1,19,66,28.79,1.42,34,153
smartwatch f1 manual,15,66,22.73,3.62,34,153
marca chilena de celulares,21,62,33.87,1,72,179
smartwatch para niños chile,6,60,10,5.68,58,156
keiphones,45,58,77.59,1.69,72,179
keiphones,4,56,7.14,1.25,33,40
smartwatch keiphone f5,19,54,35.19,1,34,156
key phone,28,49,57.14,1.55,49,150
kei f5,15,45,33.33,1,34,156
reloj keiphone,12,45,26.67,1.31,34,153
reloj keiphone,7,44,15.91,1.82,34,156
kei f7,3,43,6.98,3,34,130
relojes keiphone,21,43,48.84,1,34,153
keiphone k10 chile,20,37,54.05,1,39,156
smartwatch keiphone f5 gps tracking,15,37,40.54,1,34,156
kei phone,10,27,37.04,1.04,72,179
smartwatch niños chile,4,24,16.67,6.58,58,156
smartwatch para niños,1,21,4.76,18.1,58,156
smartwatch keiphone f5 gps,7,19,36.84,1.05,34,156
smartwatch chileno,10,16,62.5,1,72,179
setracker2 manual español,1,15,6.67,22.27,58,156
keyfon,7,9,77.78,1.11,33,40
kei kids,1,6,16.67,1.67,58,156
reloj con chip para niños,1,5,20,8.2,58,156
smartwatches chile,1,2,50,21,58,156
