Page	Query	Clicks	Impressions	CTR	Position	Title Length	Meta Descritpion lengt
https://www.keiphone.com/	keiphone	5093	7212	70.62	1.04	72	179
https://www.keiphone.com/	celular chileno	368	700	52.57	1.03	72	179
https://www.keiphone.com/	keiphone chile	191	301	63.46	1.03	72	179
https://www.keiphone.com/	celulares chilenos	77	276	27.90	2.95	72	179
https://www.keiphone.com/	keiphonesw	70	89	78.65	1.22	72	179
https://www.keiphone.com/	telefono chileno	65	170	38.24	1.82	72	179
https://www.keiphone.com/	keiphones	45	58	77.59	1.69	72	179
https://www.keiphone.com/	smartphone chileno	31	194	15.98	2.01	72	179
https://www.keiphone.com/	marca chilena de celulares	21	62	33.87	1	72	179
https://www.keiphone.com/	telefonos chilenos	20	98	20.41	2.32	72	179
https://www.keiphone.com/	keyfone	16	82	19.51	1.88	72	179
https://www.keiphone.com/	smartphone chile	15	145	10.34	12.15	72	179
https://www.keiphone.com/	kphone	15	92	16.30	2.42	72	179
https://www.keiphone.com/	kei phone	10	27	37.04	1.04	72	179
https://www.keiphone.com/	smartwatch chileno	10	16	62.50	1	72	179
https://www.keiphone.com/tienda/	keyphone	580	997	58.17	1.3	33	40
https://www.keiphone.com/tienda/	keiphone	283	7154	3.96	1	33	40
https://www.keiphone.com/tienda/	keiphone chile	20	300	6.67	1	33	40
https://www.keiphone.com/tienda/	keiphone reloj	11	160	6.88	5.96	33	40
https://www.keiphone.com/tienda/	keyfone	10	83	12.05	2.49	33	40
https://www.keiphone.com/tienda/	keiphone smartwatch	8	125	6.40	2.52	33	40
https://www.keiphone.com/tienda/	keiphonesw	8	88	9.09	1	33	40
https://www.keiphone.com/tienda/	keyfon	7	9	77.78	1.11	33	40
https://www.keiphone.com/tienda/	keiphones	4	56	7.14	1.25	33	40
https://www.keiphone.com/smartphones/k10-helio/	keyphone	206	999	20.62	1.72	49	150
https://www.keiphone.com/smartphones/k10-helio/	k10 helio	177	399	44.36	1.02	49	150
https://www.keiphone.com/smartphones/k10-helio/	smartphone chileno	94	194	48.45	1.01	49	150
https://www.keiphone.com/smartphones/k10-helio/	keiphone k10	67	696	9.63	2.94	49	150
https://www.keiphone.com/smartphones/k10-helio/	keiphone	47	7055	0.67	1	49	150
https://www.keiphone.com/smartphones/k10-helio/	keyfone	37	86	43.02	1.69	49	150
https://www.keiphone.com/smartphones/k10-helio/	kphone	33	154	21.43	4.21	49	150
https://www.keiphone.com/smartphones/k10-helio/	keiphone k10s helio	28	263	10.65	2.55	49	150
https://www.keiphone.com/smartphones/k10-helio/	key phone	28	49	57.14	1.55	49	150
https://www.keiphone.com/producto/k10-helio/	keiphone k10	239	704	33.95	1.03	39	156
https://www.keiphone.com/producto/k10-helio/	keiphone	172	7152	2.40	1.01	39	156
https://www.keiphone.com/producto/k10-helio/	keiphone k10s helio	77	279	27.60	1.06	39	156
https://www.keiphone.com/producto/k10-helio/	k10s helio	77	275	28.00	1.05	39	156
https://www.keiphone.com/producto/k10-helio/	keiphone k10s	66	162	40.74	1.03	39	156
https://www.keiphone.com/producto/k10-helio/	keiphone k10 helio	42	113	37.17	1	39	156
https://www.keiphone.com/producto/k10-helio/	k10 helio	38	398	9.55	2.52	39	156
https://www.keiphone.com/producto/k10-helio/	keyphone	24	966	2.48	3.27	39	156
https://www.keiphone.com/producto/k10-helio/	keiphone k10 chile	20	37	54.05	1	39	156
https://www.keiphone.com/smartwatch/	keiphone	281	6903	4.07	1	34	130
https://www.keiphone.com/smartwatch/	keiphone smartwatch	184	339	54.28	1	34	130
https://www.keiphone.com/smartwatch/	smartwatch keiphone	60	122	49.18	1.3	34	130
https://www.keiphone.com/smartwatch/	smartwatch chile	15	148	10.14	20.96	34	130
https://www.keiphone.com/smartwatch/	keiphone chile	14	300	4.67	1	34	130
https://www.keiphone.com/smartwatch/	smartwatch	6	425	1.41	43.52	34	130
https://www.keiphone.com/smartwatch/	keiphonesw	6	88	6.82	1	34	130
https://www.keiphone.com/smartwatch/	kei f7	3	43	6.98	3	34	130
https://www.keiphone.com/smartwatch/	celular chileno	1	239	0.42	1	34	130
https://www.keiphone.com/smartwatch/f5/	keiphone reloj	181	334	54.19	1.05	34	156
https://www.keiphone.com/smartwatch/f5/	keiphone f5	85	207	41.06	1	34	156
https://www.keiphone.com/smartwatch/f5/	smartwatch keiphone f5	19	54	35.19	1	34	156
https://www.keiphone.com/smartwatch/f5/	kei f5	15	45	33.33	1	34	156
https://www.keiphone.com/smartwatch/f5/	smartwatch keiphone f5 gps tracking	15	37	40.54	1	34	156
https://www.keiphone.com/smartwatch/f5/	smartwatch f5	8	108	7.41	8.52	34	156
https://www.keiphone.com/smartwatch/f5/	reloj keiphone	7	44	15.91	1.82	34	156
https://www.keiphone.com/smartwatch/f5/	smartwatch keiphone f5 gps	7	19	36.84	1.05	34	156
https://www.keiphone.com/smartwatch/f5/	keiphone	5	1344	0.37	1	34	156
https://www.keiphone.com/smartwatch/f1/	kei f1	21	72	29.17	1.47	34	153
https://www.keiphone.com/smartwatch/f1/	relojes keiphone	21	43	48.84	1	34	153
https://www.keiphone.com/smartwatch/f1/	smartwatch f1	19	308	6.17	8.29	34	153
https://www.keiphone.com/smartwatch/f1/	keiphone f1	19	66	28.79	1.42	34	153
https://www.keiphone.com/smartwatch/f1/	keiphone reloj	18	333	5.41	3.07	34	153
https://www.keiphone.com/smartwatch/f1/	smartwatch f1 manual	15	66	22.73	3.62	34	153
https://www.keiphone.com/smartwatch/f1/	keiphone smartwatch	12	338	3.55	1	34	153
https://www.keiphone.com/smartwatch/f1/	reloj keiphone	12	45	26.67	1.31	34	153
https://www.keiphone.com/smartwatch/f1/	keiphone	2	390	0.51	1	34	153
https://www.keiphone.com/smartwatch/keikids/	keikids	93	262	35.50	1.55	58	156
